Abatement cost	nhiễm)
Allocative efficiency	Hiệu quả phân bổ.
corporation tax	công ty.
income tax	thu nhập.
Almon lag	Độ trễ Almon.
Alpha coeficient	Hệ số Alpha
Alternative technology	Công nghệ thay thế.
Altruism	Lòng vị tha.
Amalgamation	Sự hợp nhất.
America Depository Receipt	ADR - Phiếu gửi tiền Mỹ.
America Federation of Labuor	ALF - Liên đoàn lao động Mỹ.
America selling price	Giá bán kiểu Mỹ.
American Stock Exchange	(ASE hay AMEX).
Amortization	Chi trả từng kỳ.
Amplitude	Biên độ
Amtorg	Liên Xô.
Analysis of variance	ANOVA - Phân tích phương sai
Anarchy	Tình trạng vô chính phủ.
Allowance	Phần tiền trợ cấp.
Anchor argument	Luận điểm về cái neo.
Animal spirits	theo
Analysis (stats)	Phân tích.
Annecy Round	Vòng đàm phán Annecy.
Annual allowances	Miễn thuế hàng năm.
Annual capital charge	Chi phí vốn hàng năm.
Annuity	Niên kim.
Annuity market	Thị trường niên kim.
Anomaliess pay	Tiền trả công bất thường.
Anticipated inflation	Lạm phát được dự tính.
Anti-trust	Chống lũng đoạn.
Appreciation	Sự tăng giá trị.
Apprenticeship	Học việc.
Anti-export bias	khẩu.
Appropriate products	Các sản phẩm thích hợp.
Appropriate technology	Công nghệ thích hợp.
Appropriation account	Tài khoản phân phối lãi.
Approval voting	chuẩn.
Apriori	Tiên nghiệm.
Aquinas St Thomas	(1225-1274)
Arbitrage	giá; buôn chứng khoán
Arbitration	Trọng tài
Arc elasticity of demand	Độ co giãn hình cung của cầu
ARCH	Kiểm nghiệm ARCH.
ARCH effect	Hiệu ứng ARCH.
Aristotle	trước công nguyên)
Arithmetic mean	Trung bình số học.
Arithmetic progression	Cấp số cộng.
Arrow.KennethJ	(1921-).
"A" shares	sau).
Asiab Development Bank	Ngân hàng phát triển châu Á.
Assessable Income or profit	thuế.
Assessable profit	Lợi nhuận chịu thuế.
Asset	Tài sản.
Asset stripping	Tước đoạt tài sản.
Assignment problem	Bài toán kết nối.
Assisted areas	Các vùng được hỗ trợ
Dealers	trái khoán quốc tế.
Nations (ASEAN)	Hiệp hội các nước Đông nam Á.
Assurance	Bảo hiểm xác định
Asset stocks and services flows	Dữ trữ tài sản và luồng dịch vụ.
Asymmetric infornation	không tương xứng.
Asymptote	Đường tiệm cận.
Asymptotic distribution	Phân phối tiệm cận.
Atomistic competition	Cạnh tranh độc lập.
Attribute	Thuộc tính.
Auctioneer	Người bán đấu giá.
Auction markets	Các thị trường đấu giá.
Auctions	Đấu giá.
Augmented Dickey Fuller test	sung.
Augmented Phillips curve	Đường Phillips bổ sung.
Austrian school	Trường phái kinh tế Áo.
Autarky	Tự cung tự cấp.
Autarky economy	Nền kinh tế tự cung tự cấp
Autocorrelation	Sự tự tương quan.
Automatic stabilizers	Các biện pháp ổn định tự động.
Automation	Tự động hoá.
Autonomous expenditure	Khoản chi tiêu tự định.
Induced expenditure	thu nhập).
Autonomous consumption	Tiêu dùng tự định.
Autonomous investment	Đầu tư tự định.
Autonomous investment demand	Nhu cầu đầu tư tự định.
Autonomous transactions	Giao dịch tự định
Autonomous variables	Các biến tự định
Autoregression	Tự hồi quy.
Availability effects	Các hiệu ứng của sự sẵn có.
Average	Số trung bình.
Average cost	Chi phí bình quân.
Average cost pricing	Định giá theo chi phí bình quân.
Average expected income	nhập bình quân dự kiến.
Average fixed costs	Chi phí cố định bình quân.
Average product	Sản phẩm bình quân.
Average productivity	Năng suất bình quân.
Average propensity to consume	quân.
Average propensity to save	quân.
Average rate of tax	thực tế).
Average revenue	Doanh thu bình quân.
Average revenue product	Sản phẩm doanh thu bình quân.
Average total cost	Tổng chi phí bình quân
Average variable cost	AVC-Chi phí khả biến bình quân.
Averch-Johnson Effect	Hiệu ứng Averch-Johnson.
Axiom of completeness	Tiên đề về tính đầy đủ.
Axiom of continuity	Tiên đề về tính liên tục.
Axiom of convexity	Tiên đề về tính lồi.
Axiom of dominance	thích ít.
Axiom of	Tiên đề về sự lựa chọn.
Axiom of prefence	Tiên đề về sở thích.
Backdoor fancing	Cấp tiền qua cửa sau.
Back-haul rates	Cước vận tải ngược.
Backstop technology	Công nghệ chặng cuối.
labour	phía sau.
Backward intergration	Liên hợp thượng nguồn.
Backward linkage	Liên kết thượng nguồn.
Backwash effects	Hiệu ứng ngược.
Bad	Hàng xấu.
Bad money drive out good	"Đồng tiền xấu đuổi đồng tiền tốt".
Bagehot, Walter	(1826-1877).
Balanced budget	Ngân sách cân đối.
Balanced-budget multiplier	Số nhân ngân sách cân đối.
Balanced economic development	Phát triển kinh tế cân đối.
Balanced growth	Tăng trưởng cân đối.
Balance of payment	Cán cân thanh toán.
Balance of trade	Cán cân thương mại.
Balance principle	Nguyên lý cân đối.
Balance sheet	Bảng cân đối tài sản.
Bancor	tế).
Balanced GDP	GDP được cân đối
Bandwagon effect	Hiệu ứng đoàn tàu
Bank	Ngân hàng
Bank advance	Khoản vay ngân hàng.
Bank bill	Hối phiếu ngân hàng.
Bank Charter Act	Đạo luật Ngân hàng.
Bank credit	Tín dụng ngân hàng.
Bank deposite	Tiền gửi ngân hàng.
Banking panic	Cơn hoảng loạn ngân hàng.
Banking school	Trường phái ngân hàng
Bank loan	Khoản vay ngân hàng.
Bank note	Giấy bạc của ngân hàng.
Bank of England	Ngân hàng Anh
Bank of United State	Ngân hàng Hoa Kỳ.
Bank rate	ngân hàng ANH.
Bankruptcy	Sự phá sản.
Bargaining tariff	thương lượng.
Bargaining theory of wages	công.
Bargaining unit	cả.
Banks' cash-deposit ratio	của ngân hàng.
Barlow Report	Báo cáo Barlow.
Barometric price leadership	Sự chủ đạo theo kế áp giá cả.
Barriers to entry	Rào cản nhập ngành
Barter	Hàng đổi hàng.
Barter agreements	Hiệp định trao đổi hàng.
Barter economy	Nền kinh tế hàng đổi hàng
Base period	Giai đoạn gốc.
Base rate	Lãi suất gốc.
Basic activities	Các hoạt động cơ bản.
Basic exports	Hàng xuất khẩu cơ bản
Basic industries	Những ngành cơ bản.
Basic need philosophy	Triết lý nhu cầu cơ bản.
Basic wage rates	cơ bản.
Basing-point system	Hệ thống điểm định vị cơ sở.
Bayesian techniques	Kỹ thuật Bayes.
Bearer bonds	Trái khoán không ghi tên.
Bears	Người đầu cơ giá xuống.
Beggar-my neighbour policies	giềng
Behavioural equation	Phương trình về hành vi
Behavioural expectations	Kỳ vọng dựa trên hành vi.
Behavioural theories of the firm	hành vi.
Base year	Năm gốc, năm cơ sở.
Benefit-cost ratio	Tỷ số chi phí-lợi ích.
Benefit-cost analysis	Phân tích lợi ích chi phí.
Benefit principle	Nguyên tắc đánh thuế theo lợi ích.
Benelux Economic Union	Liên minh kinh tế Benelux.
Bentham,Jeremy	1748-1832
Funtion	Hàm phúc lợi xã hội Bergson
Bernoulli Hypothesis	Giả thuyết Bernoulli.
Bertrand's duopoly Model	Bertrand.
Best Linear Unbiased Estimator	không chệch tốt nhất)
Beta	Chỉ số Beta
Beveridge Report	Báo cáo Beveridge.
Bias	Độ lệch.
Bid	Đấu thầu.
Bid-rent function	Hàm giá thầu thuê đất.
Bifurcation Hypothesis	Giả thuyết lưỡng cực.
Big bang	Vụ đảo lộn lớn.
Big push	Cú đẩy mạnh.
Bilateral assistance	Trợ giúp song phương.
Bilateral monopoly	Độc quyền song phương.
Bilateral trade	Mậu dịch song phương
Bill	Hối phiếu.
Bill broker	Người môi giới hối phiếu.
Bill of exchange	Hối phiếu đối ngoại.
Bills only	Chỉ có nghiệp vụ hối phiếu.
Binary variable	Biến nhị phân.
Biological interest rate	Lãi suất sinh học.
Birth rate	Tỷ suất sinh
BIS	Ngân hàng thanh toán quốc tế
Bivariate analysis	Phân tích hai biến số
Black market	Chợ đen
Bliss point	thoả mãn
Block grant	Trợ cấp cả gói
Blue chip	Cổ phần xanh
Blue Book	Sách xanh
Blue-collar workers	Công nhân cổ xanh
BLUS residuals	Số dư BLUS
Bond	Trái khoán
Bond market	Thị trường trái phiếu
Bonus issue	Cổ phiếu thưởng
Book value	Giá trị trên sổ sách
Boom	Sự bùng nổ tăng trưởng
Borda Count	Con tính Borda
Boulwarism	Chủ nghĩa Boulware
Bounded rationality	Tính duy lý bị hạn chế.
Bourgeoisie	sản
Box-Jenkins	Phương pháp Box-Jenkins.
Brain drain	(Hiện tượng) chảy máu chất xám
Branch banking	Nhiệp vụ ngân hàng chi nhánh
Brand loyalty	Sự trung thành với nhãn hiệu
Break-even analysis	Phân tích điểm hoà vốn
Break-even level of income	Mức hoà vốn của thu nhập
Bretton Woods system	Hệ thống Bretton Woods.
Brooker	Người môi giới.
Brokerage	Hoa hồng môi giới.
Brookings model	Mô hình Brookings
Brussels, Treaty of	Hiệp ước Brussels
Brussels, Treaty of	như hiệp ước Bổ sung)
Brussels conference	Hội nghị Brussels.
Brussels Tariff Nomenclature	Brussels
Buchanan, James M.	(1919-)
Budget	Ngân sách.
Budget deficit	Thâm hụt ngân sách.
Budget line	Đường ngân sách
Budget surplus	Thặng dư ngân sách.
Budgetary control	Kiểm soát ngân sách
Budget shares	Tỷ phần ngân sách.
Buffer stocks	Kho đệm, dự trữ bình ổn
Building society	Ngân hàng phát triển gia cư
Built-in stabililizers	nội tạo.
Bullion	Thoi
Bulls	Người đầu cơ giá lên.
Bureaucracy, economic theory of	chức.
Bureaux	Văn phòng
Business cycle	Chu kỳ kinh doanh.
Business performance	Kết quả kinh doanh.
Business risk	Rủi ro kinh doanh
Buyer concertration	Sự tập trung người mua.
Buyers' market	Thị trường của người mua.
Caculus	Giải tích.
Call money	Khoản vay không kỳ hạn.
Call option	Hợp đồng mua trước.
Cambridge Equation	Phương trình Cambridge
Cambridge school of Economics	Cambridge
Cambridge theory of Money	Cambridge.
Capacity model	Mô hình công năng.
Capacity untilization	Mức sử dụng công năng
Capital	Tư bản/ vốn.
Capital account	Tài khoản vốn.
Capital accumulation	Tích lũ vốn.
Capital allowances	Các khoản miễn thuế cho vốn.
Capital asset	Tài sản vốn.
Capital asset pricing model	Mô hình định giá Tài sản vốn.
Capital budgeting	Phân bổ vốn ngân sách.
Capital charges	Các phí tổn cho vốn
Capital coefficients	Các hệ số vốn.
Capital Consumption Allowance	bản.
Capital Controversy	Tranh cãi về yếu tố vốn.
Capital deepening	Tăng cường vốn.
Capital equipment	Thiết bị sản xuất, thiết bị vốn.
Capital expenditure	Chi tiêu cho vốn.
formation?)	Sự hình thành vốn.
Capital gain	Khoản lãi vốn.
Capital gains tax	Thuế lãi vốn.
Capital gearing	Tỷ trọng vốn vay
Capital goods	xuất.
Capital intensity	Cường độ vốn.
Capital - intensive	dụng nhiều vốn.
Capital - intensive economy	Nền kinh tế dựa nhiều vào vốn.
Capital-intensive sector	Ngành bao hàm nhiều vốn
Capital-intensive techniques	Các kỹ thuật dựa nhiều vào vốn
Capital, marginal efficiency of	Vốn, hiệu quả biên của
Capitalism	Chủ nghĩa tư bản
Capitalization	Tư bản hoá, vốn hóa
Capitalization issue	Cổ phiếu không mất tiền
Capitalization rates	Tỷ lệ vốn hoá
Capitalized value	Giá trị được vốn hoá
Capital-labour ratio	Tỷ số vốn/ lao động
Capital loss	Khoản lỗ vốn
Capital market	Thị trường vốn
Capital movements	Các luồng di chuyển vốn
Capital-output ratio	Tỷ số vốn-sản lượng
Capital rationing	Định mức vốn
Capital requirements	Các yêu cầu về vốn
Capital- reversing	Thay đổi kỹ thuật sản xuất
Capital services	Các dịch vụ vốn
Capital stock	Dung lượng vốn
Capital structure	Cấu trúc vốn
Captital tax	Thuế vốn
Capital theoretic approach	Phương pháp lý thuyết qui về vốn
Capital theory	Lý thuyết về vốn
Capital transfer tax	Thuế chuyển giao vốn
Capital turnover criterion	Tiêu chuẩn quay vòng vốn
Capital widening	Đầu tư chiều rộng (mở rộng vốn)
Capitation tax	Thuế thân
Capture theory	Lý thuyết nắm giữ.
Captive buyer	hành. (Nhà nước quy định).
Carbon tax	Thuế Carbon
Cardinalism	chia độ.
Cardinal utility	thoả dụng.
Cartel	Cartel
Cartel sanctions	Sự trừng phạt của Cartel
Cash	Tiền mặt.
Cash balance approach	mặt).
Cash crops	hàng hoá/ hoa màu thương mại.
Cash drainage	Thất thoát / hút tiền mặt.
Cash flow	lưu.
Cash flow statement	Bản báo cáo luồng tiền / ngân lưu.
Cash limit	mặt.
Cash ratio	Tỷ suất tiền mặt.
Casual employment	Công việc tạm thời.
Categorical	Trợ cấp chọn lọc.
Causality	Phương pháp nhân quả.
Ceiling	Mức trần
Celler - Kefauver Act	Đạo luật Celler - Kefauver.
Central Bank	Ngân hàng trung ương
Central Bank of Central Banks	ngân hàng trung ương.
Central business district	Khu kinh doanh trung tâm.
Central Limit Theorem.	Định lý giới hạn trung tâm.
Central Place Theory	Lý thuyết Vị trí Trung tâm.
Central planing	Kế hoạch hoá tập trung.
Central policy Review Staff	ương (CPRS).
Central Statical office	Cục thống kê trung ương
Certainty equivalence	Mức qui đổi về tất định.
Certificate of deposit	Giấy chứng nhận tiền gửi.
CES production function	thế cố định.
Ceteris paribus	Điều kiện khác giữ nguyên
Chain rule	của hàm).
Central tendency	Xu hướng hướng tâm; Hướng tâm.
Ceilings and floors	mức đáy.
Causation	Quan hệ nhân quả.
Chamberlin, Edward	(1899-1967)
Characteristics theory	Lý thuyết về đặc tính sản phẩm.
Charge account	Tài khoản tín dụng.
Cheap money	Tiền rẻ.
Check off	Trừ công đoàn phí trực tiếp.
Cheque card	Thẻ séc.
Cheque	Séc
Chicago School	Trường phái (kinh tế) Chicago.
Child allowance	Trợ cấp trẻ em.
Chi-square distribution	phối khi bình phương)
Choice of technology	Sự lựa chọn công nghệ.
Choice variable	Biến lựa chọn.
CIF	hoá.
Circular flow of income	Luồng luân chuyển thu nhập.
Choice of production technique	Sự lựa chọn kỹ thuật sản xuất.
Circular flow of payments	Dòng thanh toán luân chuyển.
Circulating capital	Vốn lưu động.
Clark, John Bates	(1847-1938)
Classical dichotomy	Thuyết lưỡng phân cổ điển
Classical economics	Kinh tế học cổ điển
Classical school	Trường phái cổ điển
taxation	Hệ thống cổ điển về thuế công ty
Classical techniques	Các kỹ thuật cổ điển
unemployment	và theo lý thuyết Keynes
Classical model	Mô hình cổ điển
Clay-clay	clay-clay; Đất sét- Đất sét
Clayton Act	Đạo luật Clayton
Clean float	Thả nổi tự do
Clearing banks	Các ngân hàng thanh toán bù trừ
Clearing house	Phòng thanh toán bù trừ
Cliometrics	Sử lượng
Closed economy	Nền kinh tế đóng
Closed shop	công đoàn.
Closing prices	Giá lúc đóng cửa.
Club good	công cộng.
Clubs, theory of	thuyết hàng hoá bán cộng cộng.
Coase, Ronald H.	(1910- ).
Coase's theorem	Định lý Coase.
Cobweb theorem	Định lý mạng nhện.
Cochrane-Orcutt	Cochrane-Orcutt
Co-determination	Đồng quyết định.
Coefficient of determination	bội số R bình phương).
Coefficient of variation	tương đối).
Coercive comparisons	So sánh ép buộc.
Cofactor	Đồng hệ số.
Coinage	Tiền đúc.
Coincident indicator	Chỉ số báo trùng hợp.
Cointegration	Đồng liên kết
COLA	Điều chỉnh theo giá sinh hoạt.
Collateral security	Vật thế chấp.
Collective bargaining	Thương lượng tập thể.
Collective choise	Sự lựa chọn tập thể.
Collective goods	Hàng hoá tập thể.
Collective exhaustive	Hoàn toàn.
Collinearity	Cộng tuyến.
Multi-Collinearity	Đa cộng tuyến.
Collusion	Kết cấu.
Collusive oligopoly	Độc quyền nhóm có kết cấu.
Collusive price leadership	Chỉ đạo giá kết cấu.
Comecon	Hội đồng tương trợ kinh tế.
Command economy	Nền kinh tế chỉ huy.
Commercial banks	Các ngân hàng thương mại.
Commercial bill	Hối phiếu thương mại.
Commercial paper	Thương phiếu
Commercial policy	Chính sách thương mại
Commissions	Xem COMPENSATION RULES
Commodity	Vật phẩm; Hàng hoá
Commodity bundling	Bán hàng theo lô
Commodity Credit Corporation	ty tín dụng vật phẩm
Commodity money	bằng hàng hoá.
Commodity space	Không gian hàng hoá.
Commodity terms of trade	hàng hoá.
Common Agricultural Policy	Chính sách nông nghiệp chung.
Common Customs Tariff	Biểu thuế quan chung.
Common external tariff	Biểu thuế đối ngoại chung.
Common facility co-operative	Các hợp tác xã có thiết bị chung.
Common market	Thị trường chung.
Common stock	Chứng khoán phổ thông.
Communism	Chủ nghĩa cộng sản.
Community Charge	Thuế cộng đồng.
Community indifference curve	Đường bàng quan cộng đồng.
Company	Công ty.
Company bargaining	Đàm phán công ty.
Company director	Giám đốc công ty.
Company saving	So sánh về lương
Comparability argument	Luận điểm về tính có thể so sánh.
Comparable worth	Giá trị có thể so sánh.
Comparative advantage	Lợi thế so sánh
Comparative costs	Chi phí so sánh.
Comparative dynamics	Phương pháp so sánh động.
Comparative statics	Phương pháp so sánh tĩnh.
Compensated demand curves	Đường cầu đã được bù.
Compensating variation	Mức thay đổi bù đắp.
Compensation principle	Nguyên lý bù đắp.
Compensation rules	Các quy tắc trả thù lao.
Compensation tests	Kiểm nghiệm đền bù.
Competition Act 1980	Đạo luật cạnh tranh 1980.
Competition and Credit Control	Kiểm soát tín dụng và cạnh tranh
Competitive markets	Thị trường cạnh tranh
Complements	Hàng hoá bổ trợ
Complex number	Số phức
Composite commodity theorem	Định lý hàng hoá đa hợp
Compound interest	Lãi kép
Compensating differentials	Các mức bù thêm tiền lương.
Competition policy	Chính sách về cạnh tranh
Concave function (concavity)	Hàm lõm (tính lõm).
Concentration	Sự tập trung.
Concentration, coefficient of.	Hệ số tập trung.
Concentration ratio	Tỷ lệ tập trung.
Concerted action	Hành động phối hợp.
reduction	quan hài hoà.
Conciliation	Hoà giải
Condorcet Criterion	Condorcet
Confederation of British Industrial	Liên đoàn công nghiệp ANH (CBI).
Confidence interval	Khoảng tin cậy.
Confidence problem	Vấn đề lòng tin.
Congestion costs	Chi phí do tắc nghẽn.
Conglomerate	doanh nghiệp
Conjectural behavior	Hành vi phỏng đoán.
CONJECTURAL VARIATION	Sự thay đổi theo phỏng đoán.
Consistency	Tính nhất quán.
Consolidated fund	Quỹ ngân khố.
Consistent	Thống nhất/ nhất quán.
Consolidated balance sheets	nhất.
Consols	Công trái hợp nhất.
Consortium bank	Ngân hàng Consortium.
Conspicuous consumption	tiêu dùng nhằm khoe khoang.
Constant capital	Tư bản bất biến.
(CES) Production Function	thế không đổi.
curve	Đường cầu với thị phần bất biến.
Constant returns to scale	tức cố định theo quy mô
Constrained optimization	Tối ưu hoá có rằng buộc
Constraint	Rằng buộc
Consumer	Người tiêu dùng
Consumer credit	Tín dụng tiêu dùng
Consumer demand theory	Lý thuyết cầu tiêu dùng
Consumer durable	Hàng tiêu dùng lâu bền
Consumer equilibrium	Cân bằng tiêu dùng
Consumer expenditure	Chi tiêu của người tiêu dùng
Consumer goods and services	Hàng và dịch vụ tiêu dùng
Consumer price index	Chỉ số giá tiêu dùng
Consumer sovereignty	dùng
Consumer's surplus	Thặng dư của người tiêu dùng
Consumption	Sự tiêu dùng
Consumption expenditure	Chi tiêu tiêu dùng
Consumption function	Hàm tiêu dùng
Consumption tax	Thuế tiêu dùng
Constestable market	Thị trường có thể cạnh tranh được
Contingency reserve	Dự trữ phát sinh
Contingency table	Bảng phát sinh; Bảng sự cố
Contingent valuation	Việc định giá bất thường
Continuous variable	Biến số liên tục
Contract curve	Đường hợp đồng
Contractionary phase	hẹp
Convergence thesis	Luận chứng hội tụ
Convergent cycle	Chu kỳ hội tụ
Conversion	Sự chuyển đổi
Convertibility	Khả năng chuyển đổi
Convertible bond	Trái khoán chuyển đổi được.
Convertible loan stock	Khoản vay chuyển đổi được.
Convertible security	Chứng khoán chuyển đổi được.
Convex function (convexity)	Hàm lồi (tính lồi).
Cooling off period	Giai đoạn lắng dịu.
Co-ordinated wage policy	Chính sách tiền lương phối hợp
Core, the	Giá gốc.
Corner solution	Đáp số góc.
Corn Laws	Các bộ luật về Ngô.
Corporate capitalism	nghĩa tư bản doanh nghiệp.
Corporate conscience	doanh nghiệp.
Corporate risk	Rủi ro hợp doanh; Rủi ro công ty.
Corporate state	nước công ty.
Complementary inputs	lượng bổ trợ.
Concesionary prices / rates	Giá / Tỷ suất ưu đãi.
Constant prices	Giá cố định / giá bán không đổi.
Constant returns to scale	Sinh lợi không đổi theo quy mô.
Constraint (informal / formal)	theo quy định.
Conversion factor	Hệ số chuyển đổi.
Consumer borrowing	Vay để tiêu dùng.
Consumer choice	Lựa chọn của người tiêu dùng.
Consumption bundle	tiêu dùng.
Consumption externalities	Những ngoại tác tiêu dùng.
Corporation	Hợp doanh; Công ty.
Corporation tax	Thuế doanh nghiệp; Thuế Công ty.
Correlation	Sự tương quan
Positive correlation	Tương quan đồng biến.
Nagative correlation	Tương quan nghịch biến.
Correlation of returns	Tương quan của lợi tức.
Correlogram	Biểu đồ tương quan
Correspondent banks	Các ngân hàng đại lý.
Corset	Yêu cầu thắt chặt.
Cost	Chi phí.
Cost - benefit analysis	Phân tích chi phí - lợi ích.
Cost - effectiveness analysis	Phân tích chi phí - hiệu quả
Cost insurance freight	giá CIF.
Cost minimization	Tối thiểu hoá chi phí.
Cost of capital	Chi phí vốn.
Cost of living	hoạt.
Cost of protection	Chi phí bảo hộ.
Cost overrun	Chi phí phát sinh.
Cost - plus pricing	cộng thêm lợi nhuận.
Cost - push inflation	Lạm phát do chi phí đẩy.
Cost - utility analysis	Phân tích tận dụng chi phí.
(ECA).	Hội đồng cố vấn kinh tế.
Assitance (Comecon)	Hội đồng tương trợ kinh tế.
Countercyclical	Ngược chu kỳ.
Countertrade	Thương mại đối lưu.
Countervailing power	bằng.
Counter - vailing duty	trợ giá.
Coupon	Phiếu lãi, lãi suất trái phiếu.
Coupon payments	Tiền trả lãi theo năm
Cournot's duopoly model	Mô hình lưỡng độc quyền Cournot.
Covariance	Hiệp phương sai.
Covariance stationary	Tĩnh theo hiệp phương sai.
Covered interest parity	lãi suất.
CPRS	STAFF.
Craff unions	Nghiệp đoàn theo chuyên môn.
Cramer's Rule	Quy tắc Cramer's.
Crawling peg	chỉnh dần.
Credit	Tín dụng.
Credit account	Tài khoản tín dụng.
Credit card	Thẻ tín dụng.
Credit celing	Trần tín dụng.
Credit control	Kiểm soát tín dụng.
Credit creation	Sự tạo ra tín dụng.
Credit guarantee	Bảo đảm tín dụng.
Credit multiplier	Số nhân tín dụng.
Credible threat	thực hiện được.
Creditor nation	Nước chủ nợ.
Creditors	Các chủ nợ.
Credit rationing	Định mức tín dụng
Credit restrictions	Hạn chế tín dụng
Credit squeeze	Hạn chế tín dụng
Credit transfer	Chuyển khoản
Creeping inflation	Lạm phát sên bò; Lạm phát bò dần
Critical value	Giá trị tới hạn
Cross elasticity of demand	Độ co giãn chéo của cầu
Cross-entry	Nhập nghành chéo
Cross partial derivative	Đạo hàm riêng
Cross-sectional analysis	Phân tích chéo
function	Hàm số tiêu dùng chéo
Cross-subsidization	Trợ cấp chéo
Crowding hypothesis	Giả thuyết chèn ép
Crowding out	Lấn áp; chèn ép
CSO	Cục thống kê trung ương
Cubic	Lập phương
Cultural change	Sự thay đổi văn hoá
Culture of poverty hypothesis	Giả thuyết về văn hoá nghèo khổ
Cumulative causation model	Mô hình nhân quả tích luỹ
Cumulative preference shares	Các cổ phiếu ưu đãi
Cumulative shares	Cổ phiếu được trả lợi theo tích luỹ
Currency	Tiền mặt, tiền tệ
Currency appreciation	Sự tăng giá trị của một đồng tiền
Currency control	Kiểm soát tiền tệ
Currency depreciation	Sự sụt giảm giá trị tiền tệ
Currency notes	Tiền giấy
Currency principle	Nguyên lý tiền tệ
Currency retention quota	Hạn mức giữ ngoại tệ
Curency school	Trường phái tiền tệ
Currency substitution	Sự thay thế tiền tệ
Current account	hành, cán cân tài khoản vãng lai.
Current assets	Tài sản lưu động.
Current cost accounting	Hạch toán theo chi phí hiện tại.
Current income	Thu nhập thường xuyên.
Current liabilities	Tài sản nợ ngắn hạn.
Current profits	Lợi nhuận hiện hành
